ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
1298,Dumbbell Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1.0,Bench (Flat),1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
1299,Double Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1300,Single Arm Kettlebell Bottoms Up Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
1301,Alternating Single Arm Kettlebell Bottoms Up Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1302,Single Arm Kettlebell Bottoms Up Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1303,Alternating Single Arm Kettlebell Bottoms Up Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1304,Alternating Single Arm Kettlebell Bottoms Up Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Front Rack,No Elevation,Combo Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
1305,Heavy Sandbag Shoulder Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Heavy Sandbag,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1306,Double Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1307,Single Arm Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1308,Double Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1309,Single Arm Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1310,Double Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1311,Single Arm Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1312,Barbell Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1.0,None,0,Walking,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1313,Single Arm Barbell Overhead Carry,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1314,Barbell Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,1.0,None,0,Walking,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1315,Single Arm Kettlebell Split Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1.0,None,0,Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
1316,Double Kettlebell Suitcase Alternating Reverse Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1317,Alternating Single Arm Kettlebell Sumo Deadlift,Video Demonstration,,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
1318,Single Arm Kettlebell Suitcase March,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,March,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
1319,Single Arm Kettlebell Bottoms Up Overhead March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,March,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
1320,Single Arm Kettlebell Bottoms Up Front Rack March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,March,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
1321,Double Kettlebell Half Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
1322,Alternating Single Arm Kettlebell Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1323,Single Arm Kettlebell Half Snatch,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1324,Double Kettlebell Half Snatch to Thruster,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
1325,Double Kettlebell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1326,Heavy Sandbag Bear Hug Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
1327,Heavy Sandbag Shoulder Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
1328,Heavy Sandbag Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Heavy Sandbag,1.0,None,0,Supine,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
1329,Heavy Sandbag Bear Hug Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1330,Heavy Sandbag Bear Hug Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Bodybuilding
1331,Heavy Sandbag Shoulder Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
1332,Heavy Sandbag Shoulder Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1333,Heavy Sandbag Shoulder Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
1334,Heavy Sandbag Shoulder Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1335,Heavy Sandbag Over the Shoulder,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1336,Heavy Sandbag Alternating Shoulder Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,,Shoulder,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1337,Heavy Sandbag Alternating Over the Shoulder,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
1338,Heavy Sandbag Bear Hug Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,1.0,None,0,Walking,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
1339,Double Dumbbell Turkish Get Up,,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,2.0,None,0,Supine,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Unsorted*
1340,Alternating Single Arm Clubbell Mill,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
1341,Bodyweight Hand Assisted Sissy Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,None,0,Standing,Double Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
1342,Bodyweight Sissy Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
1343,Bodyweight Hand Assisted Knee Over Toe Split Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1344,Superband Sissy Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
1345,Double Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1346,Single Arm Dumbbell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1347,Single Arm Dumbbell Overhead Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1348,Single Arm Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1349,Barbell Front Rack Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Walking,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1350,Kettlebell Goblet Horse Stance Squat,Video Demonstration,,Novice,Quadriceps,Gluteus Maximus,,,Kettlebell,1.0,None,0,Horse Stance,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
1351,Double Kettlebell Alternating Forward Lunge Snatch,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
1352,Double Kettlebell Feet Elevated Renegade Row,Video Demonstration,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2.0,Bench (Flat),0,Prone,Double Arm,Alternating,Neutral,Other,Feet Elevated,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
1353,Double Kettlebell Feet Elevated Renegade Row Push Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2.0,Bench (Flat),0,Prone,Double Arm,Alternating,Neutral,Other,Feet Elevated,Single Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding
1354,Double Kettlebell Half Snatch to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
1355,Double Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1356,Single Arm Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1357,Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1.0,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1358,Double Clubbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,2.0,None,0,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1359,Single Arm Clubbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1360,Clubbbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1.0,None,0,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
1361,Bodyweight Box Jump,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1.0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
1362,Bodyweight Lateral Box Jump,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1.0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
1363,Bodyweight Alternating Lateral Box Jump,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1.0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
1364,Bodyweight Straddle Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
1365,Macebell Alternating 360 to Ballistic Curl,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,Biceps Brachii,Rectus Abdominis,Macebell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
1366,Suspension Pelican Curl,,,Advanced,Biceps,Biceps Brachii,Pectoralis Major,Brachioradialis,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
